Well,Sample ID,cg11067179
A1,D1a,82.53
B1,D1b,14.93
C1,D1e,90.89
D1,D2a,79.89
E1,D2b,22.65
F1,D2d,82.65
G1,D2e,80.34
H1,D3a,77.6
A2,D3b,18.8
B2,D3e,91.71
C2,D4a,91.45
D2,D4b,62.09
E2,D4d,75.32
F2,D4e,96.05
G2,D5a,93.14
H2,D5b,23.54
A3,D5d,80.37
B3,D5e,94.6
C3,D6a,86.83
D3,D6b,20.8
E3,D6d,81.05
F3,D6e,94.42
G3,D7a,84.48
H3,D7b,25.85
A4,D7d,86.74
B4,D7e,92.49
C4,D8b,40.6
D4,D8e,94.48
E4,D9a,86.31
F4,D9b,26.58
G4,D9d,85.98
H4,D9e,97.79
A5,D10a,81.72
B5,D10b,21.4
C5,D10e,90.24
D5,D11a,88.23
E5,D11b,15.98
F5,D11d,79.99
G5,D11e,88.76
H5,D12a,87.84
A6,D12b,28.37
B6,D12d,85.04
C6,D12e,94.93
D6,D8a,90.58
E6,D10c,98.16
F6,D7c,96.02
