Well,Sample ID,CpG_2,CpG_3,CpG_4
A1,D1a,46.44,58.05,55.93
B1,D1b,80.78,95.65,91.9
C1,D1e,84.03,90.01,86.48
D1,D2a,50.43,51.94,52.97
E1,D2b,78.52,88.14,84.13
F1,D2d,84.22,88.94,84.06
G1,D2e,76.26,81.35,80.38
H1,D3a,3.73,4.44,3.93
A2,D3b,81.01,79.78,78.1
B2,D3e,78.57,85.92,86.1
C2,D4a,3.48,6.13,4.7
D2,D4b,79.21,91.61,84.24
E2,D4d,58.6,97.44,88.45
F2,D4e,76.12,84.44,86.2
G2,D5a,4.9,6.53,5.38
H2,D5b,77.27,92.54,90.02
A3,D5d,87.43,92.65,87.3
B3,D5e,75.5,92.87,92.04
C3,D6a,8.83,9.1,13.07
D3,D6b,63.73,78.08,82.58
E3,D6d,80.1,87.28,87.1
F3,D6e,72.21,80.32,84.66
G3,D7a,4.89,4.93,4.69
H3,D7b,85.16,89.32,86.4
A4,D7d,71.11,92.24,89.7
B4,D7e,81.75,85.78,83.91
C4,D8b,84.27,96.36,90.32
D4,D8e,85.84,91.38,88.87
E4,D9a,44.71,53.41,50.06
F4,D9b,79.92,94.2,89.91
G4,D9d,82.22,93.65,89.32
H4,D9e,78.06,86.96,89.7
A5,D10a,44.16,49.58,51.75
B5,D10b,86.14,90.11,91.21
C5,D10e,81.86,92.91,87.72
D5,D11a,53.7,58.7,54.85
E5,D11b,76.34,82,77.12
F5,D11d,83.86,88.79,92.11
G5,D11e,81.37,85.82,92.15
H5,D12a,4.28,6.54,5.47
A6,D12b,66.99,83.52,86.19
B6,D12d,68.74,88.12,88.08
C6,D12e,72.93,89.98,85.24
D6,D8a,60.28,62.52,62.86
E6,D10c,64.68,87.79,88.16
F6,D7c,61.5,76.81,92.91
