Well,Sample ID,cg16636767
A1,D1a,82.17
B1,D1b,90.97
C1,D1e,81.05
D1,D2a,82.74
E1,D2b,87.97
F1,D2d,66.83
G1,D2e,79.62
H1,D3a,84.08
A2,D3b,81.67
B2,D3e,84.2
C2,D4a,85.54
D2,D4b,86.04
E2,D4d,80.02
F2,D4e,78.73
G2,D5a,90.54
H2,D5b,89.24
A3,D5d,84.42
B3,D5e,92.02
C3,D6a,91.17
D3,D6b,82.14
E3,D6d,80.65
F3,D6e,78.79
G3,D7a,81.91
H3,D7b,82.84
A4,D7d,82.16
B4,D7e,80.95
C4,D8b,92.78
D4,D8e,84.63
E4,D9a,91.01
F4,D9b,81.87
G4,D9d,79.61
H4,D9e,92.59
A5,D10a,88.77
B5,D10b,84.24
C5,D10e,91.77
D5,D11a,83.52
E5,D11b,87.42
F5,D11d,71.5
G5,D11e,84.96
H5,D12a,81.12
A6,D12b,81.21
B6,D12d,81.98
C6,D12e,86.72
D6,D8a,82.39
E6,D10c,10.25
F6,D7c,5.29
