Sample,Cq_DCP2,DCP2CqMean,CqStdDev_DCP2,Cq_CD40,CD40_CqMean,CqStdDev_CD40,Cq_CD248,CD248_CqMean,CqStdDev_CD248,Cq_CD8A,CD8A_CqMean,CqStdDev_CD8A,Cq_GUSB1,GUSB1_CqMean,CqStdDev_GUSB1,Cq_GUSB2,GUSB2_CqMean,CqStdDev_GUSB2,Cq_TBP1,TBP1_CqMean,CqStdDev_TPB1,Cq_TBP2,TBP2_CqMean,CqStdDev_TBP2,Cq_FAR1,FAR1_CqMean,CqStdDev_FAR1,Cq_PARK2,PARK2_CqMean,CqStdDev_PARK2,Cq_POUF2,POUF2_CqMean,CqStdDev_POUF2,Cq_WIPI2,WIPI2_CqMean,CqStdDev_WIPI2,Cq_CD19,CD19_CqMean,CqStdDev_CD19,Cq_GAPDH,GAPDH_CMean,CqStDev_GAPDH,Cq_KLRB1,KLRB1CqMean,CqStDDev_KLRB1,Cq_SLC15A4,SLC15A4_CqMean,CqStdDev_SLC15A4
1A,26.46,26.52,0.071,27.23,27.49,0.238,32.2,32.32,0.146,28.36,28.42,0.132,27.45,27.51,0.086,27.6,27.7,0.246,26.9,27.12,0.192,27.21,27.2,0.069,29.54,29.55,0.021,30.56,30.66,0.096,26.94,26.92,0.137,28.53,28.61,0.147,32.4,32.35,0.044,23.06,23.06,0.013,27.58,27.57,0.011,29,28.96,0.067
1A,26.6,26.52,0.071,27.52,27.49,0.238,32.48,32.32,0.146,28.57,28.42,0.132,27.61,27.51,0.086,27.98,27.7,0.246,27.2,27.12,0.192,27.26,27.2,0.069,29.57,29.55,0.021,30.75,30.66,0.096,26.77,26.92,0.137,28.78,28.61,0.147,32.31,32.35,0.044,23.07,23.06,0.013,27.57,27.57,0.011,29.01,28.96,0.067
1A,26.51,26.52,0.071,27.71,27.49,0.238,32.28,32.32,0.146,28.32,28.42,0.132,27.48,27.51,0.086,27.52,27.7,0.246,27.26,27.12,0.192,27.12,27.2,0.069,29.54,29.55,0.021,30.69,30.66,0.096,27.04,26.92,0.137,28.51,28.61,0.147,32.34,32.35,0.044,23.05,23.06,0.013,27.56,27.57,0.011,28.89,28.96,0.067
2A,27.51,27.59,0.075,28.18,28.36,0.159,33.05,33.04,0.005,30.05,30.05,0.014,28.63,28.64,0.017,28.56,28.54,0.016,27.73,27.87,0.136,28,27.92,0.087,30.62,30.65,0.036,31.12,31.26,0.147,28.11,28.03,0.113,29.69,29.53,0.15,34.54,34.52,0.121,23.46,23.5,0.055,27.81,27.84,0.058,29.94,29.95,0.052
2A,27.59,27.59,0.075,28.47,28.36,0.159,33.04,33.04,0.005,30.04,30.05,0.014,28.62,28.64,0.017,28.54,28.54,0.016,28,27.87,0.136,27.82,27.92,0.087,30.63,30.65,0.036,31.25,31.26,0.147,28.09,28.03,0.113,29.4,29.53,0.15,34.39,34.52,0.121,23.48,23.5,0.055,27.81,27.84,0.058,30,29.95,0.052
2A,27.66,27.59,0.075,28.44,28.36,0.159,33.04,33.04,0.005,30.06,30.05,0.014,28.65,28.64,0.017,28.53,28.54,0.016,27.88,27.87,0.136,27.94,27.92,0.087,30.69,30.65,0.036,31.41,31.26,0.147,27.9,28.03,0.113,29.48,29.53,0.15,34.63,34.52,0.121,23.56,23.5,0.055,27.91,27.84,0.058,29.9,29.95,0.052
3A,27.44,27.37,0.064,28.07,28.15,0.067,33.08,33.35,0.237,32.22,32.3,0.094,28.32,28.24,0.076,28.4,28.43,0.093,27.55,27.64,0.116,27.77,27.8,0.021,30.62,30.68,0.066,30.57,30.56,0.032,27.71,27.79,0.072,29.07,29.1,0.072,37.63,37.73,0.735,23.39,23.53,0.148,27.68,27.65,0.04,29.59,29.62,0.03
3A,27.36,27.37,0.064,28.2,28.15,0.067,33.5,33.35,0.237,32.26,32.3,0.094,28.24,28.24,0.076,28.35,28.43,0.093,27.77,27.64,0.116,27.81,27.8,0.021,30.75,30.68,0.066,30.58,30.56,0.032,27.85,27.79,0.072,29.05,29.1,0.072,37.06,37.73,0.735,23.51,23.53,0.148,27.67,27.65,0.04,29.63,29.62,0.03
3A,27.32,27.37,0.064,28.17,28.15,0.067,33.47,33.35,0.237,32.4,32.3,0.094,28.17,28.24,0.076,28.53,28.43,0.093,27.61,27.64,0.116,27.8,27.8,0.021,30.68,30.68,0.066,30.52,30.56,0.032,27.81,27.79,0.072,29.19,29.1,0.072,38.52,37.73,0.735,23.68,23.53,0.148,27.6,27.65,0.04,29.64,29.62,0.03
4A,27.9,27.9,0.031,28.4,28.47,0.064,34.11,34.23,0.15,31.68,31.63,0.09,28.73,28.74,0.092,28.72,28.75,0.042,28.05,28.01,0.053,28.14,28.23,0.116,30.67,30.71,0.078,31.06,31,0.078,28.18,28.29,0.157,29.63,29.54,0.077,38.28,37.62,0.578,24.06,24,0.127,27.49,27.57,0.073,30.13,30.14,0.061
4A,27.94,27.9,0.031,28.48,28.47,0.064,34.19,34.23,0.15,31.52,31.63,0.09,28.84,28.74,0.092,28.79,28.75,0.042,28.02,28.01,0.053,28.18,28.23,0.116,30.66,30.71,0.078,30.91,31,0.078,28.47,28.29,0.157,29.5,29.54,0.077,37.32,37.62,0.578,24.09,24,0.127,27.64,27.57,0.073,30.2,30.14,0.061
4A,27.87,27.9,0.031,28.52,28.47,0.064,34.4,34.23,0.15,31.68,31.63,0.09,28.65,28.74,0.092,28.73,28.75,0.042,27.95,28.01,0.053,28.36,28.23,0.116,30.8,30.71,0.078,31.04,31,0.078,28.21,28.29,0.157,29.5,29.54,0.077,37.25,37.62,0.578,23.86,24,0.127,27.58,27.57,0.073,30.08,30.14,0.061
5A,27.49,27.44,0.081,28.34,28.39,0.059,33.49,33.55,0.142,32.8,33.01,0.198,28.48,28.46,0.066,28.65,28.88,0.207,27.65,27.76,0.113,27.93,27.86,0.063,31.11,31.07,0.043,31.02,30.91,0.101,28.18,28.16,0.04,29.31,29.32,0.061,36.54,36.91,0.332,23.97,24,0.075,27.39,27.45,0.084,30.22,30.2,0.039
5A,27.35,27.44,0.081,28.38,28.39,0.059,33.45,33.55,0.142,33.02,33.01,0.198,28.38,28.46,0.066,28.95,28.88,0.207,27.76,27.76,0.113,27.81,27.86,0.063,31.08,31.07,0.043,30.88,30.91,0.101,28.11,28.16,0.04,29.39,29.32,0.061,37.01,36.91,0.332,23.95,24,0.075,27.54,27.45,0.084,30.23,30.2,0.039
5A,27.49,27.44,0.081,28.45,28.39,0.059,33.72,33.55,0.142,33.2,33.01,0.198,28.51,28.46,0.066,29.04,28.88,0.207,27.87,27.76,0.113,27.84,27.86,0.063,31.02,31.07,0.043,30.83,30.91,0.101,28.18,28.16,0.04,29.27,29.32,0.061,37.18,36.91,0.332,24.09,24,0.075,27.4,27.45,0.084,30.16,30.2,0.039
