variables,group1,group2,n1,n2,statistic,df,p,p.adj,p.adj.signif
CpG_2,CD14,CD4,2,12,5.03343344586624,11.8332763749477,0.000305,0.0061,**
CpG_2,CD19,CD4,8,12,6.40948541826901,15.7593372965624,9.29e-06,0.00023426,***
CpG_2,CD4,CD56,12,12,-7.31332268386048,11.7166586632877,1.07e-05,0.00023426,***
CpG_2,CD4,CD8,12,12,-7.08863811080906,12.7645937010635,9.05e-06,0.00023426,***
CpG_3,CD14,CD4,2,12,5.51234692401346,6.26304468503616,0.001,0.019,*
CpG_3,CD19,CD4,8,12,7.89783956816472,11.5780092080374,5.37e-06,0.0001611,***
CpG_3,CD4,CD56,12,12,-7.39783612016261,11.5673914886603,1.02e-05,0.00023426,***
CpG_3,CD4,CD8,12,12,-7.43359316202702,12.2536199795191,7e-06,0.000196,***
CpG_4,CD14,CD4,2,12,7.73003977837699,11.9840169589139,5.38e-06,0.0001611,***
CpG_4,CD19,CD4,8,12,7.76378332154727,11.2716810887064,7.49e-06,0.00020223,***
CpG_4,CD4,CD56,12,12,-7.56841168772505,11.3862038033992,9.01e-06,0.00023426,***
CpG_4,CD4,CD8,12,12,-7.36960381211118,11.826513541562,9.37e-06,0.00023426,***
