variables,group1,group2,n1,n2,statistic,df,p,p.adj,p.adj.signif
cg02665297,CD14,CD19,2,8,13.3190978545064,7.9207662680414,1.06e-06,2.76521739130435e-06,****
cg02665297,CD19,CD4,8,12,-14.9959382369557,7.27132727160044,9.84e-07,2.68363636363636e-06,****
cg02665297,CD19,CD56,8,12,-13.3304513345798,9.38387220399455,2.07e-07,8.28e-07,****
cg02665297,CD19,CD8,8,12,-14.9207986248541,7.34557868759135,9.26e-07,2.64571428571429e-06,****
CpG.916,CD14,CD19,2,8,25.4124477936656,7.87493152234231,7.69e-09,5.7675e-08,****
CpG.916,CD19,CD4,8,12,-26.5800255454776,8.83665603260046,9.72e-10,1.458e-08,****
CpG.916,CD19,CD56,8,12,-16.9567428087094,17.1189549471006,3.87e-12,2.322e-10,****
CpG.916,CD19,CD8,8,12,-27.3902099204487,7.80762492371881,4.85e-09,4.71428571428571e-08,****
CpG.917,CD14,CD19,2,8,20.6005506843779,7.37983498622079,8.62e-08,4.525e-07,****
CpG.917,CD19,CD4,8,12,-20.8068071711133,7.3045566702742,9.05e-08,4.525e-07,****
CpG.917,CD19,CD56,8,12,-14.994274608495,16.1115213181901,6.94e-11,1.626e-09,****
CpG.917,CD19,CD8,8,12,-21.1463973606266,7.14534164262146,1.05e-07,4.84615384615385e-07,****
CpG.918,CD14,CD19,2,8,14.6699966641595,3.53331743009444,0.000272,0.00068,***
CpG.918,CD19,CD4,8,12,-22.3145548332063,7.75903870473143,2.56e-08,1.70666666666667e-07,****
CpG.918,CD19,CD56,8,12,-16.7591061341141,14.3333455241531,8.13e-11,1.626e-09,****
CpG.918,CD19,CD8,8,12,-22.655499886071,7.4503987926231,3.83e-08,2.298e-07,****
CpG.919,CD14,CD19,2,8,16.9322306561278,7.91341100837578,1.69e-07,7.24285714285714e-07,****
CpG.919,CD19,CD4,8,12,-18.4639700711693,7.1677219792076,2.63e-07,9.28235294117647e-07,****
CpG.919,CD19,CD56,8,12,-15.2011229791195,11.535900126331,5.5e-09,4.71428571428571e-08,****
CpG.919,CD19,CD8,8,12,-18.8098826228561,7.08647456401102,2.61e-07,9.28235294117647e-07,****
CpG.921,CD14,CD19,2,8,16.3195031895309,7.16765506709485,6.25e-07,1.965e-06,****
CpG.921,CD19,CD4,8,12,-16.0063864469194,7.23191651384155,6.55e-07,1.965e-06,****
CpG.921,CD19,CD56,8,12,-12.3746446091995,14.2869004837062,4.99e-09,4.71428571428571e-08,****
CpG.921,CD19,CD8,8,12,-16.4346824739878,7.14615014528558,6.13e-07,1.965e-06,****
