variables,group1,group2,n1,n2,statistic,df,p,p.adj,p.adj.signif
CpG_14058,CD14,CD19,2,8,-18.839427117961,5.72549672645344,2.27e-06,0.00011804,***
CpG_14058,CD14,CD4,2,12,-28.3026130778337,2.44992906052321,0.000383,0.019533,*
CpG_14058,CD14,CD56,2,12,-33.8213062581579,1.3424655651351,0.006,0.294,ns
CpG_14058,CD14,CD8,2,12,-29.9363812820144,2.06597903161773,0.00093,0.0465,*
CpG_14059,CD14,CD19,2,8,-24.1486083751533,7.4086497469812,2.57e-08,1.5163e-06,****
CpG_14059,CD14,CD4,2,12,-49.3211834952934,11.8860842198364,4.07e-15,3.2153e-13,****
CpG_14059,CD14,CD56,2,12,-76.0562867677547,8.4881559923081,2.49e-13,1.5687e-11,****
CpG_14059,CD14,CD8,2,12,-84.9068489991009,7.04224062087867,7.28e-12,4.368e-10,****
CpG_14060,CD14,CD19,2,8,-19.8064802173967,7.33872476845396,1.22e-07,6.71e-06,****
CpG_14060,CD14,CD4,2,12,-47.9533234048958,11.7742275568151,7.24e-15,5.5024e-13,****
CpG_14060,CD14,CD56,2,12,-51.8371073829524,11.5187947952172,5.18e-15,3.9886e-13,****
CpG_14060,CD14,CD8,2,12,-63.2720258731423,9.96459374872614,2.59e-14,1.8648e-12,****
CpG_14061,CD14,CD19,2,8,-21.1030482672247,7.00499736762309,1.34e-07,7.236e-06,****
CpG_14061,CD14,CD4,2,12,-44.9283958089742,11.0297163868899,7.61e-14,5.2509e-12,****
CpG_14061,CD14,CD56,2,12,-53.2362234854687,11.0420631392988,1.15e-14,8.51e-13,****
CpG_14061,CD14,CD8,2,12,-42.747844837158,11.0265284453673,1.32e-13,8.844e-12,****
CpG_14062,CD14,CD19,2,8,-20.6692314633208,7.57451345993538,6.16e-08,3.5112e-06,****
CpG_14062,CD14,CD4,2,12,-35.7298408153507,11.9001954081523,1.78e-13,1.1748e-11,****
CpG_14062,CD14,CD56,2,12,-36.2374005189911,11.7382926236594,2.05e-13,1.312e-11,****
CpG_14062,CD14,CD8,2,12,-26.8300399026394,11.90775736806,5.12e-12,3.1232e-10,****
CpG_14063.cg23244761,CD14,CD19,2,8,-19.8197020626526,7.01379381667015,2.04e-07,1.0812e-05,****
CpG_14063.cg23244761,CD14,CD4,2,12,-48.608416445631,11.1050551209692,2.71e-14,1.9241e-12,****
CpG_14063.cg23244761,CD14,CD56,2,12,-56.9210224311759,11.1470115766812,4.28e-15,3.3384e-13,****
CpG_14063.cg23244761,CD14,CD8,2,12,-51.1742563225099,11.1140620036065,1.5e-14,1.095e-12,****
CpG_14064,CD14,CD19,2,8,-19.651518066436,7.51191434501673,9.88e-08,5.5328e-06,****
CpG_14064,CD14,CD4,2,12,-39.4322523192646,11.5374883355952,1.15e-13,7.82e-12,****
CpG_14064,CD14,CD56,2,12,-48.6111668391557,9.67369192804982,6.92e-13,4.2904e-11,****
CpG_14064,CD14,CD8,2,12,-36.8261868824471,11.6849587042588,1.89e-13,1.2285e-11,****
CpG_14065,CD14,CD19,2,8,-23.4786313078057,7.28179787016942,3.94e-08,2.2852e-06,****
CpG_14065,CD14,CD4,2,12,-50.3408254436591,11.9945822985096,2.51e-15,2.008e-13,****
CpG_14065,CD14,CD56,2,12,-39.2564213520088,11.8047488294284,7.09e-14,4.963e-12,****
CpG_14065,CD14,CD8,2,12,-45.7506403256906,11.9263957741636,9.07e-15,6.8025e-13,****
