IlmnID,CD19.mean,other.mean,abs_diff,percent_diff,change,CHR,MAPINFO,gene,feature,CellType
cg02665297,0.079826764567597,0.948914884466882,0.869088119899285,86.91,Up,7,5270984,WIPI2,3'UTR,CD19
cg04828493,0.077586732770646,0.944854406138465,0.867267673367819,86.73,Up,13,111328783,CARS2,Body,CD19
cg25131632,0.072045102249774,0.921809946732264,0.84976484448249,84.98,Up,10,94549040,,,CD19
cg01024458,0.085977388626364,0.916882538001092,0.830905149374728,83.09,Up,1,8703816,RERE,Body,CD19
cg07721872,0.104690916663518,0.926769049214701,0.822078132551183,82.21,Up,16,87735256,LOC100129637,Body,CD19
cg19276014,0.151610758535452,0.972077082823907,0.820466324288455,82.05,Up,10,133598638,,,CD19
cg21596498,0.116812088184107,0.920093621863217,0.80328153367911,80.33,Up,19,42618407,POU2F2,Body,CD19
cg14936008,0.120861839306197,0.918049106365673,0.797187267059476,79.72,Up,14,107260014,,,CD19
cg11661493,0.090230036242389,0.884059411281268,0.793829375038879,79.38,Up,17,74423978,UBE2O,Body,CD19
cg05205074,0.101515734568762,0.894570704421335,0.793054969852573,79.31,Up,14,107259880,,,CD19
cg04153882,0.124527126122477,0.916577170988277,0.7920500448658,79.21,Up,7,5270928,WIPI2,3'UTR,CD19
cg16210395,0.093619122143638,0.88499871291544,0.791379590771802,79.14,Up,15,57802103,CGNL1,Body,CD19
cg17232476,0.099049545150522,0.889849930754375,0.790800385603853,79.08,Up,11,121440880,SORL1,Body,CD19
cg03248292,0.061237308924451,0.851830180105199,0.790592871180748,79.06,Up,12,92861062,,,CD19
cg05579731,0.092976452387048,0.880607691279514,0.787631238892466,78.76,Up,11,61648132,FADS3,Body,CD19
cg04838847,0.180354912014159,0.967468606525596,0.787113694511437,78.71,Up,8,110587155,GOLSYN,Body,CD19
cg17679619,0.102990750562614,0.889134818476681,0.786144067914067,78.61,Up,4,74542972,,,CD19
cg15035590,0.129811936353268,0.915777411006774,0.785965474653506,78.6,Up,3,66437456,LRIG1,Body,CD19
cg17995557,0.093885306667681,0.879923151436389,0.786037844768708,78.6,Up,10,126289971,LHPP,Body,CD19
cg16654610,0.098706708752766,0.879875577022581,0.781168868269815,78.12,Up,4,471390,ZNF721,5'UTR,CD19
cg13356455,0.099959717888934,0.879442838441682,0.779483120552748,77.95,Up,15,25962719,ATP10A,Body,CD19
cg18250453,0.121736994116649,0.899296582118579,0.77755958800193,77.76,Up,8,73924925,TERF1,Body,CD19
cg22212560,0.095400106973949,0.869756575583492,0.774356468609543,77.44,Up,11,65175482,FRMD8,Body,CD19
cg20602300,0.140067775186093,0.910326679643744,0.770258904457652,77.03,Up,15,40846077,C15orf57,3'UTR,CD19
cg12604490,0.109043552609679,0.876579013146578,0.767535460536899,76.75,Up,6,99373813,FBXL4,Body,CD19
cg21743182,0.107914056788876,0.873058097615214,0.765144040826337,76.51,Up,7,90339132,CDK14,Body,CD19
cg00760938,0.103373928559155,0.865777268801936,0.762403340242781,76.24,Up,2,217357159,,,CD19
cg23683962,0.137081458588142,0.896919157933301,0.759837699345158,75.98,Up,3,24549503,,,CD19
cg26810157,0.097425209445598,0.856348344027668,0.758923134582071,75.89,Up,15,57579076,TCF12,3'UTR,CD19
cg16148346,0.124960527956664,0.882826226884181,0.757865698927517,75.79,Up,11,58826475,,,CD19
cg25683989,0.115138205387865,0.87270350715546,0.757565301767595,75.76,Up,12,111124215,HVCN1,5'UTR,CD19
cg26121053,0.202764771447045,0.956172139648853,0.753407368201807,75.34,Up,10,49880599,,,CD19
cg12976793,0.159266681176518,0.911871982251053,0.752605301074536,75.26,Up,12,96584672,,,CD19
cg22381248,0.112993166764096,0.865555394960118,0.752562228196022,75.26,Up,1,42003713,HIVEP3,Body,CD19
cg08905753,0.107373060970596,0.859835441732048,0.752462380761453,75.25,Up,6,32783347,HLA-DOB,Body,CD19
cg22905350,0.132343433873416,0.883385609329782,0.751042175456367,75.1,Up,3,27401810,NEK10,5'UTR,CD19
cg06889975,0.124168590235661,0.874941889216679,0.750773298981018,75.08,Up,8,22558722,,,CD19
cg17123327,0.104627713313578,0.855211260456247,0.750583547142669,75.06,Up,X,9736580,,,CD19
cg22498365,0.129405682871733,0.879567219431375,0.750161536559642,75.02,Up,17,80829028,TBCD,Body,CD19
cg15348679,0.111091094894434,0.860717164495328,0.749626069600894,74.96,Up,21,45626491,,,CD19
cg27565966,0.123236248483756,0.872671191426131,0.749434942942375,74.94,Up,16,28943198,CD19,TSS200,CD19
cg07597976,0.071111090600018,0.81967970203573,0.748568611435712,74.86,Up,16,28943019,CD19,TSS1500,CD19
cg19766988,0.154033132185487,0.901943262993111,0.747910130807624,74.79,Up,19,10231711,EIF3G,TSS1500,CD19
cg25469923,0.096377917516325,0.843935433349087,0.747557515832761,74.76,Up,1,4087182,,,CD19
cg03980424,0.161839092157232,0.906915286376872,0.74507619421964,74.51,Up,10,3526723,,,CD19
cg19038462,0.163836306719042,0.908040339834712,0.74420403311567,74.42,Up,10,31715394,ZEB1,Body,CD19
cg07558704,0.200857695623084,0.944532355841035,0.743674660217951,74.37,Up,2,73286489,SFXN5,Body,CD19
cg22907103,0.110561924946409,0.853886615938238,0.743324690991829,74.33,Up,11,61124346,CYBASC3,5'UTR; 1stExon; Body,CD19
cg09469986,0.140062781723229,0.881500662786582,0.741437881063353,74.14,Up,13,31017306,,,CD19
cg15287850,0.113779846329108,0.853095208348565,0.739315362019458,73.93,Up,3,186739599,ST6GAL1,5'UTR; TSS200,CD19
cg03402235,0.143710873456976,0.882872908689464,0.739162035232488,73.92,Up,15,42749336,ZFP106,1stExon,CD19
cg18406852,0.186891764877806,0.92491632683197,0.738024561954164,73.8,Up,2,101010769,CHST10,Body,CD19
cg14331899,0.193221713071115,0.930964632118167,0.737742919047053,73.77,Up,11,61125360,CYBASC3,TSS1500; 5'UTR,CD19
cg00762029,0.188625679985726,0.925631918118228,0.737006238132501,73.7,Up,4,185317438,IRF2,Body,CD19
cg08939052,0.120795012746023,0.855425793391582,0.734630780645559,73.46,Up,1,59491890,,,CD19
cg10147394,0.11544193961061,0.848314328559517,0.732872388948908,73.29,Up,8,11350297,BLK,TSS1500,CD19
cg02582213,0.153774247788652,0.885141381159424,0.731367133370772,73.14,Up,16,89441654,ANKRD11,5'UTR,CD19
cg26795340,0.10500812149066,0.835557497501035,0.730549376010375,73.05,Up,12,50504814,GPD1; C12orf62,3'UTR; TSS1500,CD19
cg13915752,0.144513895876127,0.871835262852722,0.727321366976595,72.73,Up,6,111132613,CDK19,Body,CD19
