variables,group1,group2,n1,n2,statistic,df,p,p.adj,p.adj.signif
cg25939861,CD14,CD8,2,12,19.7674596587521,1.01130637457028,0.031,0.044285714285714,*
cg25939861,CD19,CD8,8,12,81.5237360570956,8.49914287924969,1.34E-13,6.7E-13,****
cg25939861,CD4,CD8,12,12,122.618871607537,17.6259146438189,2.74E-27,2.74E-26,****
cg25939861,CD56,CD8,12,12,21.7627571952697,11.2601811057012,1.48E-10,4.93333333333333E-10,****
cg25939861,CD19,CD8,8,12,81.5237360570956,8.49914287924969,1.34E-13,6.7E-13,****
cg25939861,CD4,CD8,12,12,122.618871607537,17.6259146438189,2.74E-27,2.74E-26,****
cg25939861,CD56,CD8,12,12,21.7627571952697,11.2601811057012,1.48E-10,4.93333333333333E-10,****
CpG_2,CD14,CD4,2,12,5.03343344586624,11.8332763749477,0.000305,0.0061,**
CpG_2,CD19,CD4,8,12,6.40948541826901,15.7593372965624,9.29E-06,0.00023426,***
CpG_2,CD4,CD56,12,12,-7.31332268386048,11.7166586632877,1.07E-05,0.00023426,***
CpG_2,CD4,CD8,12,12,-7.08863811080906,12.7645937010635,9.05E-06,0.00023426,***
CpG_3,CD14,CD4,2,12,5.51234692401346,6.26304468503616,0.001,0.019,*
CpG_3,CD19,CD4,8,12,7.89783956816472,11.5780092080374,5.37E-06,0.0001611,***
CpG_3,CD4,CD56,12,12,-7.39783612016261,11.5673914886603,1.02E-05,0.00023426,***
CpG_3,CD4,CD8,12,12,-7.43359316202702,12.2536199795191,7E-06,0.000196,***
CpG_4,CD14,CD4,2,12,7.73003977837699,11.9840169589139,5.38E-06,0.0001611,***
CpG_4,CD19,CD4,8,12,7.76378332154727,11.2716810887064,7.49E-06,0.00020223,***
CpG_4,CD4,CD56,12,12,-7.56841168772505,11.3862038033992,9.01E-06,0.00023426,***
CpG_4,CD4,CD8,12,12,-7.36960381211118,11.826513541562,9.37E-06,0.00023426,***
cg13617280,CD14,CD56,2,12,33.1087499198255,11.0061968558836,2.25E-12,1.125E-11,****
cg13617280,CD19,CD56,8,12,29.347290326137,16.5387521613004,1.06E-15,1.41333333333333E-14,****
cg13617280,CD4,CD56,12,12,28.2212456639062,19.9159153704817,1.56E-17,3.12E-16,****
cg13617280,CD56,CD8,12,12,-12.2130412406696,15.0956156018042,3.16E-09,1.05333333333333E-08,****
CpG.243,CD14,CD56,2,12,12.3127618464256,1.32255971448724,0.025,0.058823529411765,ns
CpG.243,CD19,CD56,8,12,26.7035797453101,16.6795637948437,4.01E-15,3.208E-14,****
CpG.243,CD4,CD56,12,12,31.547442032975,13.4274230235824,5.48E-14,3.13142857142857E-13,****
CpG.243,CD56,CD8,12,12,-12.1282595762105,15.5614143940308,2.44E-09,8.87272727272727E-09,****
CpG.244,CD14,CD56,2,12,18.4937555764021,2.00160764989813,0.003,0.008571428571429,**
CpG.244,CD19,CD56,8,12,24.2201509338229,17.9955991008118,3.47E-15,3.208E-14,****
CpG.244,CD4,CD56,12,12,29.4819883297668,15.1421167046291,8.6E-15,5.73333333333333E-14,****
CpG.244,CD56,CD8,12,12,-12.7615220848873,16.006601726116,8.35E-10,3.34E-09,****
CpG.245,CD14,CD56,2,12,18.3438362797257,1.65791732905305,0.007,0.0175,*
CpG.245,CD19,CD56,8,12,22.6457304791356,13.5594528193471,3.63E-12,1.61333333333333E-11,****
CpG.245,CD4,CD56,12,12,32.3791269456808,20.5159605918848,4.3E-19,1.72E-17,****
CpG.245,CD56,CD8,12,12,-11.9766085439861,13.6835627685667,1.23E-08,3.78461538461538E-08,****
cg11067179,CD14,CD8,2,12,18.033955337188,11.9900262864658,4.71E-10,4.239E-09,****
cg11067179,CD19,CD8,8,12,13.9084364419556,13.6291409680367,1.94E-09,1.358E-08,****
cg11067179,CD4,CD8,12,12,14.7941062354854,13.9267354685949,6.56E-10,5.248E-09,****
cg11067179,CD56,CD8,12,12,16.473889891196,13.662370216774,2.1E-10,2.1E-09,****
cg13995453,CD14,CD56,2,12,5.93941614370557,1.03063567734391,0.101,0.505,ns
cg13995453,CD19,CD56,8,12,33.7624127705357,16.8126607786864,6.89E-17,5.512E-16,****
cg13995453,CD4,CD56,12,12,27.0977639673338,21.0806276465908,7.21E-18,7.21E-17,****
cg13995453,CD56,CD8,12,11,-27.9758568297718,20.3593817395361,1E-17,9E-17,****
cg16636767,CD14,CD19,2,8,-21.6083446308784,2.79975989674354,0.000336,0.00336,**
cg16636767,CD14,CD4,2,12,-28.5429047230872,1.44208694075572,0.006,0.042,*
cg16636767,CD14,CD56,2,12,-26.568410662996,1.83346021536486,0.002,0.018,*
cg16636767,CD14,CD8,2,12,-28.5341366579598,1.46470879123816,0.005,0.04,*
CpG_14058,CD14,CD19,2,8,-18.839427117961,5.72549672645344,2.27E-06,0.00011804,***
CpG_14058,CD14,CD4,2,12,-28.3026130778337,2.44992906052321,0.000383,0.019533,*
CpG_14058,CD14,CD56,2,12,-33.8213062581579,1.3424655651351,0.006,0.294,ns
CpG_14058,CD14,CD8,2,12,-29.9363812820144,2.06597903161773,0.00093,0.0465,*
CpG_14059,CD14,CD19,2,8,-24.1486083751533,7.4086497469812,2.57E-08,1.5163E-06,****
CpG_14059,CD14,CD4,2,12,-49.3211834952934,11.8860842198364,4.07E-15,3.2153E-13,****
CpG_14059,CD14,CD56,2,12,-76.0562867677547,8.4881559923081,2.49E-13,1.5687E-11,****
CpG_14059,CD14,CD8,2,12,-84.9068489991009,7.04224062087867,7.28E-12,4.368E-10,****
CpG_14060,CD14,CD19,2,8,-19.8064802173967,7.33872476845396,1.22E-07,6.71E-06,****
CpG_14060,CD14,CD4,2,12,-47.9533234048958,11.7742275568151,7.24E-15,5.5024E-13,****
CpG_14060,CD14,CD56,2,12,-51.8371073829524,11.5187947952172,5.18E-15,3.9886E-13,****
CpG_14060,CD14,CD8,2,12,-63.2720258731423,9.96459374872614,2.59E-14,1.8648E-12,****
CpG_14061,CD14,CD19,2,8,-21.1030482672247,7.00499736762309,1.34E-07,7.236E-06,****
CpG_14061,CD14,CD4,2,12,-44.9283958089742,11.0297163868899,7.61E-14,5.2509E-12,****
CpG_14061,CD14,CD56,2,12,-53.2362234854687,11.0420631392988,1.15E-14,8.51E-13,****
CpG_14061,CD14,CD8,2,12,-42.747844837158,11.0265284453673,1.32E-13,8.844E-12,****
