IlmnID,NEU.mean,other.mean,abs_diff,percent_diff,change,CHR,MAPINFO,gene,feature,CellType
cg07232642,0.39031611425865,0.52945159015265,0.139135475894,13.91,Up,10,99822472,,,Neutrophil
cg23271099,0.772213969307811,0.90776998958102,0.135556020273209,13.56,Up,6,43149472,CUL9,TSS1500,Neutrophil
cg10713232,0.780825695189388,0.903281821395455,0.122456126206066,12.25,Up,17,37051959,LASP1,Body,Neutrophil
cg10797552,0.754627129860088,0.873479937487531,0.118852807627443,11.89,Up,8,129382151,,,Neutrophil
cg10470368,0.771597785673637,0.872192526231954,0.100594740558317,10.06,Up,11,64146517,,,Neutrophil
cg19744051,0.674561632647675,0.594631686162691,0.079929946484984,7.99,Down,5,55294284,,,Neutrophil
cg12876356,0.773390280501196,0.848115200035813,0.074724919534617,7.47,Up,1,92946825,GFI1,Body,Neutrophil
cg13723551,0.8371046886411,0.90729126568994,0.07018657704884,7.02,Up,7,16511803,,,Neutrophil
cg08678000,0.809411149550069,0.878174271229307,0.068763121679239,6.88,Up,8,89047821,,,Neutrophil
cg23854456,0.88783110618151,0.951183208073515,0.063352101892005,6.34,Up,19,39806075,LRFN1,TSS200,Neutrophil
cg06703222,0.125692382585733,0.062782552362077,0.062909830223656,6.29,Down,16,69598327,NFAT5,TSS1500,Neutrophil
cg13392885,0.787121104830642,0.846682287329552,0.05956118249891,5.96,Up,2,161593271,,,Neutrophil
cg13052101,0.906103327333098,0.961814530663424,0.055711203330327,5.57,Up,11,68517529,MTL5,Body,Neutrophil
cg09243909,0.825786922610823,0.879996164237406,0.054209241626584,5.42,Up,16,53871485,FTO,Body,Neutrophil
cg07234876,0.917269229927302,0.970192392133573,0.052923162206271,5.29,Up,8,600039,,,Neutrophil
cg05071077,0.934337248768558,0.881513769747476,0.052823479021083,5.28,Down,6,33268842,TAPBP,3'UTR,Neutrophil
cg12578486,0.112695322350933,0.061316291912659,0.051379030438274,5.14,Down,13,100008957,UBAC2,Body,Neutrophil
cg10640168,0.919974845758677,0.963725594179595,0.043750748420918,4.38,Up,8,141360745,TRAPPC9,Body,Neutrophil
cg12903171,0.434346875806367,0.391178152537199,0.043168723269168,4.32,Down,7,50850564,GRB10,5'UTR,Neutrophil
cg23438040,0.718848360037231,0.75965532397036,0.040806963933128,4.08,Up,20,32319291,ZNF341,TSS1500,Neutrophil
cg21853542,0.594079779130291,0.554977222217846,0.039102556912445,3.91,Down,7,94286559,SGCE; PEG10,TSS1500; 5'UTR,Neutrophil
cg21629528,0.52388199106037,0.485598060215679,0.038283930844691,3.83,Down,7,130131921,MEST; MESTIT1,5'UTR; TSS200; TSS1500,Neutrophil
cg05819130,0.600414176082712,0.563053375585009,0.037360800497703,3.74,Down,7,94285759,SGCE; PEG10,TSS1500; 5'UTR; 1stExon,Neutrophil
cg16250402,0.852669521421075,0.889178964204049,0.036509442782974,3.65,Up,1,234796042,,,Neutrophil
cg20893203,0.111186332696869,0.075220069436149,0.03596626326072,3.6,Down,6,41499799,,,Neutrophil
cg06471744,0.914589006708568,0.879106566560961,0.035482440147607,3.55,Down,5,179630722,RASGEF1C,5'UTR,Neutrophil
cg17404640,0.901731841833228,0.937141473613309,0.035409631780082,3.54,Up,6,22467088,,,Neutrophil
cg16422814,0.959168288950957,0.925067821713838,0.034100467237119,3.41,Down,10,123691602,,,Neutrophil
cg25371692,0.047546899969692,0.013423004419092,0.034123895550601,3.41,Down,19,10362856,MRPL4,5'UTR; 1stExon,Neutrophil
cg12324831,0.125855166768272,0.092044107575636,0.033811059192637,3.38,Down,X,154444470,VBP1,TSS1500,Neutrophil
cg05692422,0.939014527724393,0.972291499796701,0.033276972072308,3.33,Up,X,42637044,PPP1R2P9,Body,Neutrophil
cg01759870,0.943956743039226,0.976477550296681,0.032520807257456,3.25,Up,14,105936409,MTA1,Body,Neutrophil
cg01276497,0.890891457479868,0.922850952296328,0.031959494816459,3.2,Up,11,33723723,C11orf91,TSS1500,Neutrophil
cg27071065,0.905519441159503,0.936972425491485,0.031452984331982,3.15,Up,15,81027333,FAM108C1,Body,Neutrophil
cg24787889,0.123771881875873,0.092983814061461,0.030788067814412,3.08,Down,X,48768632,SLC35A2,Body,Neutrophil
cg19079047,0.468083093926841,0.437453118969392,0.030629974957449,3.06,Down,7,94285777,SGCE; PEG10,TSS1500; 5'UTR; 1stExon,Neutrophil
cg14462432,0.940237962885102,0.970659953760128,0.030421990875026,3.04,Up,9,127572501,OLFML2A,Body,Neutrophil
cg07542558,0.888277353298403,0.918175164051164,0.029897810752761,2.99,Up,3,61886718,PTPRG,Body,Neutrophil
cg20643362,0.093685740888382,0.066823591222204,0.026862149666177,2.69,Down,19,30206369,C19orf12,1stExon; 5'UTR; TSS1500,Neutrophil
cg14642833,0.087737854065665,0.06099421209758,0.026743641968085,2.67,Down,10,58121299,ZWINT,TSS1500,Neutrophil
cg08658009,0.893656840440702,0.868593947442639,0.025062892998063,2.51,Down,7,30071179,PLEKHA8,Body,Neutrophil
cg22771904,0.918521500746373,0.943220828587902,0.024699327841529,2.47,Up,6,169051407,SMOC2,Body,Neutrophil
cg08664247,0.01703435606183,0.041487198203273,0.024452842141443,2.45,Up,3,38066742,PLCD1,TSS1500; Body,Neutrophil
cg02025938,0.086875591298092,0.063862336705277,0.023013254592815,2.3,Down,2,136288971,R3HDM1; ZRANB3,TSS200,Neutrophil
cg01952724,0.122767101309653,0.100161336201269,0.022605765108383,2.26,Down,19,51611733,CTU1,TSS200,Neutrophil
cg16718999,0.959741328872379,0.982097873713381,0.022356544841003,2.24,Up,11,64108790,CCDC88B,Body,Neutrophil
cg04436889,0.110188059666129,0.087971307798219,0.022216751867909,2.22,Down,2,11887322,LPIN1,5'UTR,Neutrophil
cg17405908,0.088753888006696,0.06656708760293,0.022186800403767,2.22,Down,7,128784419,TSPAN33,TSS1500,Neutrophil
cg23811057,0.096384341647012,0.074484685882079,0.021899655764933,2.19,Down,1,234908514,,,Neutrophil
cg20310071,0.112945125015258,0.091455703299075,0.021489421716183,2.15,Down,8,77912528,PXMP3,TSS200,Neutrophil
cg06911282,0.07594515899514,0.054727272367688,0.021217886627452,2.12,Down,8,11660733,FDFT1,Body,Neutrophil
cg14200635,0.114624297125361,0.093525962813866,0.021098334311495,2.11,Down,7,27702666,HIBADH,TSS200,Neutrophil
cg09244754,0.127345299159257,0.10763537486065,0.019709924298607,1.97,Down,6,122792965,PKIB; SERINC1,TSS200,Neutrophil
cg08951907,0.108737495405589,0.089142386312141,0.019595109093448,1.96,Down,17,18218556,TOP3A; SMCR8,TSS1500; TSS200,Neutrophil
ch.1.2344685R,0.054974063481001,0.035716126987089,0.019257936493912,1.93,Down,1,95177356,,,Neutrophil
cg07432687,0.076034468605153,0.057118313950394,0.01891615465476,1.89,Down,2,97173990,NEURL3,TSS200,Neutrophil
cg11471939,0.091251315756833,0.072699947889165,0.018551367867669,1.86,Down,15,72522966,PKM2,5'UTR,Neutrophil
cg18464896,0.032826466990236,0.01432910360711,0.018497363383126,1.85,Down,8,145691042,KIFC2; CYHR1,TSS1500; TSS200,Neutrophil
cg21887597,0.118560625001316,0.100117107866433,0.018443517134884,1.84,Down,15,83419354,,,Neutrophil
cg08649954,0.039781479121781,0.057995652553591,0.018214173431811,1.82,Up,1,202114133,ARL8A,TSS1500,Neutrophil
cg17239876,0.956621015151142,0.974724799251363,0.018103784100222,1.81,Up,10,72311914,KIAA1274,Body,Neutrophil
cg00630453,0.078071072866163,0.060099520858601,0.017971552007562,1.8,Down,20,2821369,FAM113A; VPS16,TSS200,Neutrophil
cg13357812,0.060461155382768,0.042450698936564,0.018010456446204,1.8,Down,12,62654503,USP15,Body,Neutrophil
cg07499032,0.091209829278831,0.073541695383535,0.017668133895297,1.77,Down,7,102066852,PRKRIP1,3'UTR,Neutrophil
cg18123596,0.117330752372305,0.099600450615929,0.017730301756376,1.77,Down,17,36956264,PIP4K2B,TSS200,Neutrophil
cg22307649,0.095446733723225,0.077768316619594,0.017678417103632,1.77,Down,11,118889171,TRAPPC4; RPS25,TSS200,Neutrophil
cg05262316,0.064538217874397,0.047058606717285,0.017479611157112,1.75,Down,6,64345491,,,Neutrophil
cg03977081,0.030079802215013,0.047434868264977,0.017355066049964,1.74,Up,7,73097805,WBSCR22; DNAJC30,TSS200,Neutrophil
cg14376436,0.07714668752717,0.060083093826956,0.017063593700214,1.71,Down,6,111196532,AMD1,5'UTR; Body,Neutrophil
cg19497071,0.086320039276947,0.069204709918407,0.01711532935854,1.71,Down,19,51869589,ETFB,1stExon; 5'UTR,Neutrophil
cg11642891,0.95951645495713,0.976189813234678,0.016673358277547,1.67,Up,2,3452563,TTC15,Body,Neutrophil
cg13622267,0.078466688335223,0.061809099194824,0.016657589140399,1.67,Down,4,68411338,CENPC1,TSS200,Neutrophil
cg02031597,0.115494052389238,0.098941991257078,0.01655206113216,1.66,Down,22,50683365,TUBGCP6,1stExon; 5'UTR,Neutrophil
cg00584670,0.048355750436203,0.031813028425965,0.016542722010238,1.65,Down,5,43603158,NNT,TSS200; 5'UTR,Neutrophil
cg00388987,0.061052480849913,0.044605875442067,0.016446605407845,1.64,Down,16,72698624,,,Neutrophil
cg10450178,0.055584327012278,0.039182802938537,0.016401524073741,1.64,Down,12,89920041,WDR51B,TSS1500,Neutrophil
cg08793459,0.069106790319117,0.053369083970075,0.015737706349043,1.57,Down,17,57784647,PTRH2; TMEM49,5'UTR; TSS1500,Neutrophil
cg08462292,0.062364568251553,0.046868021011614,0.015496547239939,1.55,Down,1,97188168,PTBP2,Body,Neutrophil
cg09352715,0.082864989752103,0.06754205792339,0.015322931828714,1.53,Down,17,67410995,MAP2K6,1stExon; 5'UTR,Neutrophil
cg01634057,0.085776171683699,0.070537806519581,0.015238365164118,1.52,Down,4,123843788,NUDT6; SPATA5,5'UTR; TSS200; TSS1500,Neutrophil
cg07400328,0.097845244200932,0.082596777100889,0.015248467100043,1.52,Down,6,8064096,MUTED,Body,Neutrophil
cg08271918,0.061607080317689,0.046440974657205,0.015166105660484,1.52,Down,13,73301231,C13orf37; C13orf34,Body; TSS1500,Neutrophil
cg25417348,0.072639733441877,0.057772808100186,0.014866925341691,1.49,Down,19,45458530,CLPTM1,TSS200,Neutrophil
cg00427822,0.102076694749964,0.087303967465495,0.014772727284468,1.48,Down,2,27712755,IFT172,TSS200,Neutrophil
cg08899126,0.046268988523637,0.03191698015815,0.014352008365488,1.44,Down,7,66147017,,,Neutrophil
cg00918762,0.056080529569034,0.041982115025533,0.014098414543501,1.41,Down,6,30585117,MRPS18B; PPP1R10,TSS1500; TSS200,Neutrophil
cg10927536,0.063245171067759,0.049149007397094,0.014096163670665,1.41,Down,22,26880188,HPS4; SRRD,TSS1500; Body,Neutrophil
cg12661229,0.064476796213608,0.050407036810537,0.014069759403071,1.41,Down,3,49840147,C3orf54,TSS1500,Neutrophil
cg07674403,0.041442563777669,0.027394545859469,0.0140480179182,1.4,Down,19,13068176,GADD45GIP1,TSS200,Neutrophil
cg04386512,0.056925291811477,0.043012598637124,0.013912693174353,1.39,Down,22,41698454,ZC3H7B,5'UTR,Neutrophil
cg10277146,0.064536389461325,0.050629211063291,0.013907178398034,1.39,Down,2,32288253,SPAST,TSS1500,Neutrophil
cg07395907,0.063000956284867,0.049229068670992,0.013771887613874,1.38,Down,3,39219367,,,Neutrophil
cg17266562,0.08818065182279,0.074419970604235,0.013760681218555,1.38,Down,10,26727598,APBB1IP,5'UTR,Neutrophil
cg16427488,0.065144771870133,0.051643756828402,0.013501015041731,1.35,Down,8,86132835,C8orf59,TSS200,Neutrophil
cg19297231,0.056199051073175,0.042792364582427,0.013406686490748,1.34,Down,6,42016176,CCND3,5'UTR,Neutrophil
cg00239061,0.067434515045419,0.054352785637103,0.013081729408316,1.31,Down,17,56083898,SFRS1,Body,Neutrophil
cg10103751,0.070368890867202,0.057289736990882,0.01307915387632,1.31,Down,16,14013678,ERCC4,TSS1500,Neutrophil
cg16552822,0.045886113069596,0.032760570483661,0.013125542585936,1.31,Down,1,19278734,IFFO2,Body,Neutrophil
cg07773642,0.055372790451911,0.042348722268802,0.013024068183109,1.3,Down,16,74330896,PSMD7,Body,Neutrophil
cg16144934,0.060074910587272,0.047214049809346,0.012860860777926,1.29,Down,5,153570512,GALNT10,1stExon,Neutrophil
cg07443954,0.059013347256586,0.046425733681317,0.012587613575268,1.26,Down,19,49149573,SEC1; CA11,Body; TSS200,Neutrophil
cg17074454,0.076342091828525,0.063779968166085,0.01256212366244,1.26,Down,6,160389792,IGF2R,TSS1500,Neutrophil
cg06351970,0.078210433918704,0.065927628515024,0.012282805403681,1.23,Down,6,111280209,GTF3C6,Body,Neutrophil
cg23070585,0.056060710841179,0.043878705723413,0.012182005117766,1.22,Down,6,33168452,SLC39A7; RXRB,TSS200,Neutrophil
cg24802241,0.05137681427898,0.039434285095812,0.011942529183167,1.19,Down,5,137673902,FAM53C,5'UTR; 1stExon,Neutrophil
ch.11.310923R,0.051152778330661,0.039328666008716,0.011824112321945,1.18,Down,11,11458355,GALNTL4,Body,Neutrophil
cg01202312,0.038494170998956,0.026929426966827,0.011564744032129,1.16,Down,6,34855980,TAF11; ANKS1A,TSS200; TSS1500,Neutrophil
cg07890514,0.071382770477497,0.059769642033665,0.011613128443832,1.16,Down,3,72897063,SHQ1,Body,Neutrophil
cg20979296,0.040019553943293,0.028652902146792,0.011366651796501,1.14,Down,4,169401717,DDX60L,TSS200,Neutrophil
cg17225172,0.057388977352537,0.046169807877334,0.011219169475203,1.12,Down,11,62521755,ZBTB3,TSS200,Neutrophil
cg20564913,0.002534897415723,0.013769773587953,0.01123487617223,1.12,Up,4,1006270,FGFRL1,5'UTR; 1stExon,Neutrophil
cg13713052,0.063541432505917,0.052872138325415,0.010669294180502,1.07,Down,3,122102218,FAM162A; CCDC58,TSS1500; TSS200,Neutrophil
cg24533690,0.060935377078815,0.050354472466975,0.01058090461184,1.06,Down,10,103880622,LDB1,TSS1500,Neutrophil
cg00855938,0.051872472550466,0.041338404287862,0.010534068262604,1.05,Down,14,23565052,C14orf119; ACIN1,5'UTR; TSS1500,Neutrophil
cg17176423,0.070408812085401,0.059916868080927,0.010491944004474,1.05,Down,15,85278581,,,Neutrophil
cg07290273,0.03899928271784,0.028839427163567,0.010159855554273,1.02,Down,2,62733114,TMEM17,Body,Neutrophil
cg08514994,0.038629662100321,0.028854944216405,0.009774717883917,0.98,Down,20,47805136,STAU1,TSS1500,Neutrophil
cg04327761,0.01845590831289,0.008848556319907,0.009607351992983,0.96,Down,14,74353282,ZNF410,TSS1500,Neutrophil
cg11641045,0.023074446628551,0.013547795985858,0.009526650642693,0.95,Down,12,56325832,DGKA,1stExon; 5'UTR,Neutrophil
cg13024018,0.013673591031387,0.005454945146864,0.008218645884523,0.82,Down,3,133380790,TOPBP1,TSS200,Neutrophil
cg03712341,0.004976350527867,0.013035784768744,0.008059434240877,0.81,Up,5,177659383,AGXT2L2,Body,Neutrophil
cg15348799,0.0041231178316,0.011794924101061,0.007671806269461,0.77,Up,3,170075452,SKIL,TSS200,Neutrophil
cg24098516,0.026221324898676,0.019116229345476,0.0071050955532,0.71,Down,3,122233880,KPNA1,TSS200,Neutrophil
cg02871028,0.019441639255303,0.012434223038106,0.007007416217197,0.7,Down,19,32896878,DPY19L3,TSS200,Neutrophil
cg00915609,0.011497936635689,0.005513664247666,0.005984272388023,0.6,Down,2,97174045,NEURL3,TSS200,Neutrophil
cg02619173,0.010909015770726,0.005425735659757,0.005483280110969,0.55,Down,5,134181600,C5orf24,TSS200; 5'UTR,Neutrophil
cg10021803,0.009572408176819,0.004146884071066,0.005425524105753,0.54,Down,11,74660260,XRRA1; SPCS2,TSS200,Neutrophil
cg00194465,0.00698266504152,0.002705101725922,0.004277563315598,0.43,Down,10,7860511,TAF3,TSS200,Neutrophil
