IlmnID,specific_cell_mean_beta,other_cells_mean_beta,abs_diff,percent_diff,change,CHR,MAPINFO,gene,feature,CellType
cg23244761,0.141098519391158,0.928743004413456,0.787644485022298,78.76,Up,6,161796850,PARK2,Body,CD14
cg26538782,0.143378544721286,0.864654537721525,0.721275993000239,72.13,Up,19,10308540,,,CD14
cg10480329,0.188026525323303,0.890902362482363,0.702875837159059,70.29,Up,2,27011850,CENPA,Body,CD14
cg19301114,0.109285750358609,0.805442928981597,0.696157178622988,69.62,Up,6,161796785,PARK2,Body,CD14
cg18066690,0.195548687133394,0.889320395462401,0.693771708329007,69.38,Up,8,48344060,KIAA0146,Body,CD14
cg16636767,0.20830841643031,0.893774123929798,0.685465707499488,68.55,Up,11,13694647,FAR1,5'UTR,CD14
cg25898577,0.135021704596795,0.817418647877987,0.682396943281192,68.24,Up,22,22292241,PPM1F,Body,CD14
cg00701951,0.133874351066471,0.812752077926255,0.678877726859784,67.89,Up,10,124228478,HTRA1,Body,CD14
cg23391288,0.208782691499996,0.87792894598917,0.669146254489173,66.91,Up,13,49366203,,,CD14
cg10624395,0.205480255536036,0.871052329561553,0.665572074025518,66.56,Up,11,110350574,,,CD14
cg08538581,0.112175379990652,0.77751587170424,0.665340491713588,66.53,Up,1,162500634,,,CD14
cg00208012,0.179819400607803,0.838808186331401,0.658988785723598,65.9,Up,7,76032544,ZP3; SRCRB4D,5'UTR; Body,CD14
cg07002540,0.145329513834681,0.803616267576528,0.658286753741848,65.83,Up,2,85281128,KCMF1,3'UTR,CD14
cg20641531,0.186606430693057,0.836640005758389,0.650033575065332,65,Up,7,8302731,ICA1,TSS1500,CD14
cg08908131,0.16204789240458,0.809306296002169,0.647258403597589,64.73,Up,10,118706938,KIAA1598,Body,CD14
cg01024962,0.203551886772447,0.849924878776939,0.646372992004492,64.64,Up,14,31389792,STRN3,Body,CD14
cg10278149,0.146300547741371,0.790460906500347,0.644160358758976,64.42,Up,2,208016923,KLF7,Body,CD14
cg08694574,0.186931366839249,0.829731710056464,0.642800343217215,64.28,Up,16,86011615,,,CD14
cg21459713,0.21660290367714,0.853935649675904,0.637332745998764,63.73,Up,8,623688,ERICH1,Body,CD14
cg02780988,0.160691404805196,0.79715989754244,0.636468492737244,63.65,Up,17,39646994,KRT36,TSS1500,CD14
cg05242065,0.197817951468858,0.83185723999175,0.634039288522892,63.4,Up,2,85060011,C2orf89,Body,CD14
cg02244028,0.21554589983181,0.849154245721226,0.633608345889415,63.36,Up,3,38992200,SCN11A,TSS200,CD14
cg04468741,0.189716682668123,0.823363137608604,0.633646454940481,63.36,Up,11,12181467,MICAL2,5'UTR,CD14
