Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
GO: Molecular Function	GO:0035639	purine ribonucleoside triphosphate binding	 	8.993E-5	6.871E-2	1.714E-2	1.237E-1	35	1817	GALK1,RNGTT,MYO1C,NEK10,RPS6KA2,CDK19,CDK14,ITPKB,EFTUD2,BLK,PTK2B,KSR1,TUBB3,RHOBTB2,SIK2,GNA12,ATP11A,TTLL10,CARS2,MOV10,RALB,DDR1,TRPV1,CAMK2A,RUNX2,ARL15,ATP10A,UBE2O,FARS2,DNM3,RAB40C,PRKCZ,CTPS1,FYN,MYO16
GO: Molecular Function	GO:0032550	purine ribonucleoside binding	 	1.036E-4	7.918E-2	1.714E-2	1.237E-1	35	1830	GALK1,RNGTT,MYO1C,NEK10,RPS6KA2,CDK19,CDK14,ITPKB,EFTUD2,BLK,PTK2B,KSR1,TUBB3,RHOBTB2,SIK2,GNA12,ATP11A,TTLL10,CARS2,MOV10,RALB,DDR1,TRPV1,CAMK2A,RUNX2,ARL15,ATP10A,UBE2O,FARS2,DNM3,RAB40C,PRKCZ,CTPS1,FYN,MYO16
GO: Molecular Function	GO:0032549	ribonucleoside binding	 	1.071E-4	8.179E-2	1.714E-2	1.237E-1	35	1833	GALK1,RNGTT,MYO1C,NEK10,RPS6KA2,CDK19,CDK14,ITPKB,EFTUD2,BLK,PTK2B,KSR1,TUBB3,RHOBTB2,SIK2,GNA12,ATP11A,TTLL10,CARS2,MOV10,RALB,DDR1,TRPV1,CAMK2A,RUNX2,ARL15,ATP10A,UBE2O,FARS2,DNM3,RAB40C,PRKCZ,CTPS1,FYN,MYO16
GO: Molecular Function	GO:0001883	purine nucleoside binding	 	1.071E-4	8.179E-2	1.714E-2	1.237E-1	35	1833	GALK1,RNGTT,MYO1C,NEK10,RPS6KA2,CDK19,CDK14,ITPKB,EFTUD2,BLK,PTK2B,KSR1,TUBB3,RHOBTB2,SIK2,GNA12,ATP11A,TTLL10,CARS2,MOV10,RALB,DDR1,TRPV1,CAMK2A,RUNX2,ARL15,ATP10A,UBE2O,FARS2,DNM3,RAB40C,PRKCZ,CTPS1,FYN,MYO16
GO: Molecular Function	GO:0001882	nucleoside binding	 	1.154E-4	8.819E-2	1.714E-2	1.237E-1	35	1840	GALK1,RNGTT,MYO1C,NEK10,RPS6KA2,CDK19,CDK14,ITPKB,EFTUD2,BLK,PTK2B,KSR1,TUBB3,RHOBTB2,SIK2,GNA12,ATP11A,TTLL10,CARS2,MOV10,RALB,DDR1,TRPV1,CAMK2A,RUNX2,ARL15,ATP10A,UBE2O,FARS2,DNM3,RAB40C,PRKCZ,CTPS1,FYN,MYO16
GO: Molecular Function	GO:0032555	purine ribonucleotide binding	 	1.520E-4	1.161E-1	1.714E-2	1.237E-1	35	1866	GALK1,RNGTT,MYO1C,NEK10,RPS6KA2,CDK19,CDK14,ITPKB,EFTUD2,BLK,PTK2B,KSR1,TUBB3,RHOBTB2,SIK2,GNA12,ATP11A,TTLL10,CARS2,MOV10,RALB,DDR1,TRPV1,CAMK2A,RUNX2,ARL15,ATP10A,UBE2O,FARS2,DNM3,RAB40C,PRKCZ,CTPS1,FYN,MYO16
GO: Molecular Function	GO:0017076	purine nucleotide binding	 	1.776E-4	1.357E-1	1.714E-2	1.237E-1	35	1881	GALK1,RNGTT,MYO1C,NEK10,RPS6KA2,CDK19,CDK14,ITPKB,EFTUD2,BLK,PTK2B,KSR1,TUBB3,RHOBTB2,SIK2,GNA12,ATP11A,TTLL10,CARS2,MOV10,RALB,DDR1,TRPV1,CAMK2A,RUNX2,ARL15,ATP10A,UBE2O,FARS2,DNM3,RAB40C,PRKCZ,CTPS1,FYN,MYO16
GO: Molecular Function	GO:0032553	ribonucleotide binding	 	1.794E-4	1.371E-1	1.714E-2	1.237E-1	35	1882	GALK1,RNGTT,MYO1C,NEK10,RPS6KA2,CDK19,CDK14,ITPKB,EFTUD2,BLK,PTK2B,KSR1,TUBB3,RHOBTB2,SIK2,GNA12,ATP11A,TTLL10,CARS2,MOV10,RALB,DDR1,TRPV1,CAMK2A,RUNX2,ARL15,ATP10A,UBE2O,FARS2,DNM3,RAB40C,PRKCZ,CTPS1,FYN,MYO16
GO: Molecular Function	GO:0043565	sequence-specific DNA binding	 	2.140E-4	1.635E-1	1.817E-2	1.311E-1	24	1097	HDAC4,SPIB,GATA3,ETV6,IRF2,IKZF1,PHF21A,ARID5B,BAHCC1,RAG1,TCF3,ZEB1,TCF12,POU2F2,NR1H3,E4F1,TLR9,RUNX2,TERF1,ZNF691,HIVEP3,ZNF500,FOXP1,RERE
GO: Molecular Function	GO:0070888	E-box binding	 	3.807E-4	2.908E-1	2.908E-2	2.099E-1	4	35	GATA3,TCF3,ZEB1,TCF12
