Well,Sample ID,CpG#-7,C>T rs762440930 ; Loss of CpG#-6 (cg27565966)
A1,D1a,84.51,94.24
B1,D1b,90.19,96.29
C1,D1e,73.39,83.68
D1,D2a,91.62,98.79
E1,D2b,84.02,95.25
F1,D2d,26.91,26.37
G1,D2e,79.28,93.62
H1,D3a,89.47,96.05
A2,D3b,88.58,97.5
B2,D3e,73.79,81.93
C2,D4a,91.88,95.15
D2,D4b,84.5,100
E2,D4d,,
F2,D4e,71.55,83.27
G2,D5a,88.14,96.5
H2,D5b,89.55,100
A3,D5d,8.66,9.28
B3,D5e,74.39,89.56
C3,D6a,89.58,97
D3,D6b,87.14,100
E3,D6d,10.44,10
F3,D6e,75.13,93.25
G3,D7a,84.76,95.98
H3,D7b,83.63,100
A4,D7d,7.3,6.06
B4,D7e,73.02,81.5
C4,D8b,84.85,92.94
D4,D8e,69.89,84.44
E4,D9a,88.2,98.09
F4,D9b,84.83,96.52
G4,D9d,8.44,7.1
H4,D9e,81.43,98.54
A5,D10a,90.49,98.4
B5,D10b,89.92,98.95
C5,D10e,74.5,80.06
D5,D11a,89.67,96.27
E5,D11b,83.11,81.93
F5,D11d,10.91,8.51
G5,D11e,75.11,86.6
H5,D12a,90.55,97.8
A6,D12b,87.58,93.62
B6,D12d,11.9,11.79
C6,D12e,69.75,83.75
D6,D8a,88.29,95.08
E6,D10c,83.78,89.21
F6,D7c,73.72,95.74
